,Unnamed: 0,Original Label,ANGER,LOVE,SADNESS,SURPRISE,JOY,FEAR,Predicted Label
0,0,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
1,1,sadness,0.427,0.427,0.465,0.427,0.427,0.427,sadness
2,2,anger,0.242,0.242,0.261,0.242,0.242,0.242,sadness
3,3,love,0.225,0.225,0.244,0.225,0.225,0.225,sadness
4,4,anger,0,0,0,0,0,0,not found
5,5,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
6,6,surprise,0.302,0.302,0.327,0.302,0.302,0.302,sadness
7,7,fear,0.296,0.296,0.32,0.296,0.296,0.296,sadness
8,8,joy,0.261,0.261,0.279,0.261,0.261,0.261,sadness
9,9,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
10,10,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
11,11,joy,0.259,0.259,0.278,0.259,0.259,0.259,sadness
12,12,anger,0.281,0.281,0.303,0.281,0.281,0.281,sadness
13,13,sadness,0.196,0.196,0.21,0.196,0.196,0.196,sadness
14,14,joy,0.279,0.279,0.301,0.279,0.279,0.279,sadness
15,15,joy,0.325,0.325,0.35,0.325,0.325,0.325,sadness
16,16,sadness,0,0,0,0,0,0,not found
17,17,sadness,0.268,0.268,0.287,0.268,0.268,0.268,sadness
18,18,sadness,0.217,0.217,0.232,0.217,0.217,0.217,sadness
19,19,fear,0.276,0.276,0.297,0.276,0.276,0.276,sadness
20,20,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
21,21,fear,0.262,0.262,0.282,0.262,0.262,0.262,sadness
22,22,joy,0,0,0,0,0,0,not found
23,23,joy,0.352,0.352,0.381,0.352,0.352,0.352,sadness
24,24,anger,0.308,0.308,0.333,0.308,0.308,0.308,sadness
25,25,sadness,0.253,0.253,0.275,0.253,0.253,0.253,sadness
26,26,sadness,0.211,0.211,0.229,0.211,0.211,0.211,sadness
27,27,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
28,28,anger,0.317,0.317,0.342,0.317,0.317,0.317,sadness
29,29,joy,0.139,0.139,0.15,0.139,0.139,0.139,sadness
30,30,joy,0.364,0.364,0.395,0.364,0.364,0.364,sadness
31,31,fear,0.56,0.56,0.608,0.56,0.56,0.56,sadness
32,32,surprise,0.23,0.23,0.247,0.23,0.23,0.23,sadness
33,33,anger,0.251,0.251,0.271,0.251,0.251,0.251,sadness
34,34,joy,0.297,0.297,0.321,0.297,0.297,0.297,sadness
35,35,joy,0,0,0,0,0,0,not found
36,36,joy,0,0,0,0,0,0,not found
37,37,joy,0.218,0.218,0.234,0.218,0.218,0.218,sadness
38,38,anger,0.238,0.238,0.256,0.238,0.238,0.238,sadness
39,39,joy,0.377,0.377,0.408,0.377,0.377,0.377,sadness
40,40,joy,0.338,0.338,0.365,0.338,0.338,0.338,sadness
41,41,joy,0.18,0.18,0.192,0.18,0.18,0.18,sadness
42,42,joy,0.276,0.276,0.297,0.276,0.276,0.276,sadness
43,43,joy,0.22,0.22,0.235,0.22,0.22,0.22,sadness
44,44,sadness,0.281,0.281,0.303,0.281,0.281,0.281,sadness
45,45,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
46,46,joy,0.272,0.272,0.294,0.272,0.272,0.272,sadness
47,47,love,0.409,0.409,0.442,0.409,0.409,0.409,sadness
48,48,joy,0.148,0.148,0.157,0.148,0.148,0.148,sadness
49,49,anger,0,0,0,0,0,0,not found
50,50,joy,0.372,0.372,0.401,0.372,0.372,0.372,sadness
51,51,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
52,52,anger,0,0,0,0,0,0,not found
53,53,fear,0.333,0.333,0.364,0.333,0.333,0.333,sadness
54,54,joy,0.185,0.185,0.198,0.185,0.185,0.185,sadness
55,55,sadness,0.267,0.267,0.287,0.267,0.267,0.267,sadness
56,56,sadness,0.397,0.397,0.407,0.379,0.397,0.397,sadness
57,57,surprise,0.75,0.75,0.818,0.75,0.75,0.75,sadness
58,58,joy,0.253,0.253,0.273,0.253,0.253,0.253,sadness
59,59,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
60,60,joy,0.23,0.23,0.247,0.23,0.23,0.23,sadness
61,61,love,0.422,0.422,0.419,0.389,0.422,0.456,fear
62,62,fear,0.161,0.161,0.172,0.161,0.161,0.161,sadness
63,63,fear,0.412,0.412,0.446,0.412,0.412,0.412,sadness
64,64,surprise,0.225,0.225,0.242,0.225,0.225,0.225,sadness
65,65,anger,0.225,0.225,0.242,0.225,0.225,0.225,sadness
66,66,anger,0.182,0.182,0.195,0.182,0.182,0.182,sadness
67,67,sadness,0.508,0.508,0.506,0.469,0.508,0.508,anger
68,68,love,0.524,0.524,0.567,0.524,0.524,0.524,sadness
69,69,joy,0.139,0.139,0.15,0.139,0.139,0.139,sadness
70,70,sadness,0.196,0.196,0.21,0.196,0.196,0.196,sadness
71,71,sadness,0.339,0.339,0.362,0.339,0.339,0.339,sadness
72,72,joy,0.232,0.232,0.252,0.232,0.232,0.232,sadness
73,73,sadness,0.203,0.203,0.217,0.203,0.203,0.203,sadness
74,74,sadness,0.221,0.221,0.238,0.221,0.221,0.221,sadness
75,75,sadness,0.178,0.178,0.192,0.178,0.178,0.178,sadness
76,76,joy,0.287,0.287,0.31,0.287,0.287,0.287,sadness
