,Original Label,ANGER,LOVE,SADNESS,SURPRISE,JOY,FEAR,Predicted Label
0,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
1,sadness,0.427,0.427,0.465,0.427,0.427,0.427,sadness
2,anger,0.242,0.242,0.261,0.242,0.242,0.242,sadness
3,love,0.225,0.225,0.244,0.225,0.225,0.225,sadness
4,anger,0,0,0,0,0,0,not found
5,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
6,surprise,0.302,0.302,0.327,0.302,0.302,0.302,sadness
7,fear,0.296,0.296,0.32,0.296,0.296,0.296,sadness
8,joy,0.261,0.261,0.279,0.261,0.261,0.261,sadness
9,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
10,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
11,joy,0.259,0.259,0.278,0.259,0.259,0.259,sadness
12,anger,0.281,0.281,0.303,0.281,0.281,0.281,sadness
13,sadness,0.196,0.196,0.21,0.196,0.196,0.196,sadness
14,joy,0.279,0.279,0.301,0.279,0.279,0.279,sadness
15,joy,0.325,0.325,0.35,0.325,0.325,0.325,sadness
16,sadness,0,0,0,0,0,0,not found
17,sadness,0.268,0.268,0.287,0.268,0.268,0.268,sadness
18,sadness,0.217,0.217,0.232,0.217,0.217,0.217,sadness
19,fear,0.276,0.276,0.297,0.276,0.276,0.276,sadness
20,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
21,fear,0.262,0.262,0.282,0.262,0.262,0.262,sadness
22,joy,0,0,0,0,0,0,not found
23,joy,0.352,0.352,0.381,0.352,0.352,0.352,sadness
24,anger,0.308,0.308,0.333,0.308,0.308,0.308,sadness
25,sadness,0.253,0.253,0.275,0.253,0.253,0.253,sadness
26,sadness,0.211,0.211,0.229,0.211,0.211,0.211,sadness
27,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
28,anger,0.317,0.317,0.342,0.317,0.317,0.317,sadness
29,joy,0.139,0.139,0.15,0.139,0.139,0.139,sadness
30,joy,0.364,0.364,0.395,0.364,0.364,0.364,sadness
31,fear,0.56,0.56,0.608,0.56,0.56,0.56,sadness
32,surprise,0.23,0.23,0.247,0.23,0.23,0.23,sadness
33,anger,0.251,0.251,0.271,0.251,0.251,0.251,sadness
34,joy,0.297,0.297,0.321,0.297,0.297,0.297,sadness
35,joy,0,0,0,0,0,0,not found
